Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,10/2/2022 4:32,32.3182,-86.9023,1522135,20422,,,1,31043.80112,,,1.341668117,84000001,USA,,
Alaska,US,10/2/2022 4:32,61.3707,-152.4044,298178,1364,,,2,40760.03527,,,0.457444882,84000002,USA,,
American Samoa,US,10/2/2022 4:32,-14.271,-170.132,8247,34,,,60,14821.80407,,,0.412271129,16,ASM,,
Arizona,US,10/2/2022 4:32,33.7298,-111.4312,2271560,31370,,,4,31208.24728,,,1.380989276,84000004,USA,,
Arkansas,US,10/2/2022 4:32,34.9697,-92.3731,951892,12181,,,5,31542.53888,,,1.279661978,84000005,USA,,
California,US,10/2/2022 4:32,36.1162,-119.6816,11266623,95965,,,6,28514.27266,,,0.851763656,84000006,USA,,
Colorado,US,10/2/2022 4:32,39.0598,-105.3111,1654798,13316,,,8,28735.43778,,,0.804690361,84000008,USA,,
Connecticut,US,10/2/2022 4:32,41.5978,-72.7554,897699,11365,,,9,25178.87059,,,1.266014555,84000009,USA,,
Delaware,US,10/2/2022 4:32,39.3185,-75.5071,308713,3111,,,10,31703.06152,,,1.007732101,84000010,USA,,
Diamond Princess,US,10/2/2022 4:32,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,10/2/2022 4:32,38.8974,-77.0268,168514,1392,,,11,23877.32749,,,0.826044127,84000011,USA,,
Florida,US,10/2/2022 4:32,27.7663,-81.6868,7150188,81416,,,12,33291.16098,,,1.138655375,84000012,USA,,
Georgia,US,10/2/2022 4:32,33.0406,-83.6431,2905400,40281,,,13,27364.45557,,,1.386418393,84000013,USA,,
Grand Princess,US,10/2/2022 4:32,,,103,3,,,99999,,,,2.912621359,84099999,USA,,
Guam,US,10/2/2022 4:32,13.4443,144.7937,58577,401,,,66,35667.87839,,,0.684569029,316,GUM,,
Hawaii,US,10/2/2022 4:32,21.0943,-157.4983,355959,1686,,,15,25140.62006,,,0.473650055,84000015,USA,,
Idaho,US,10/2/2022 4:32,44.2405,-114.4788,495873,5176,,,16,27747.89949,,,1.043815654,84000016,USA,,
Illinois,US,10/2/2022 4:32,40.3495,-88.9861,3762220,39698,,,17,29689.6555,,,1.05517487,84000017,USA,,
Indiana,US,10/2/2022 4:32,39.8494,-86.2583,1921993,24708,,,18,28549.17524,,,1.285540582,84000018,USA,,
Iowa,US,10/2/2022 4:32,42.0115,-93.2105,856096,10077,,,19,27133.97801,,,1.177087616,84000019,USA,,
Kansas,US,10/2/2022 4:32,38.5266,-96.7265,879001,9555,,,20,30171.85926,,,1.08702948,84000020,USA,,
Kentucky,US,10/2/2022 4:32,37.6681,-84.6701,1582021,17004,,,21,35410.40269,,,1.074827705,84000021,USA,,
Louisiana,US,10/2/2022 4:32,31.1695,-91.8678,1455290,18066,,,22,31304.67816,,,1.241402057,84000022,USA,,
Maine,US,10/2/2022 4:32,44.6939,-69.3819,290053,2582,,,23,21577.92074,,,0.890182139,84000023,USA,,
Maryland,US,10/2/2022 4:32,39.0639,-76.8021,1250032,15399,,,24,20676.44996,,,1.231888464,84000024,USA,,
Massachusetts,US,10/2/2022 4:32,42.2302,-71.5301,2050942,21706,,,25,29756.12778,,,1.058342947,84000025,USA,,
Michigan,US,10/2/2022 4:32,43.3266,-84.5361,2836167,38624,,,26,28398.9948,,,1.361838002,84000026,USA,,
Minnesota,US,10/2/2022 4:32,45.6945,-93.9002,1664797,13651,,,27,29519.60341,,,0.819979853,84000027,USA,,
Mississippi,US,10/2/2022 4:32,32.7416,-89.6787,927465,12912,,,28,31163.25829,,,1.392181915,84000028,USA,,
Missouri,US,10/2/2022 4:32,38.4561,-92.2884,1658330,21700,,,29,27019.95038,,,1.308545344,84000029,USA,,
Montana,US,10/2/2022 4:32,46.9219,-110.4544,310731,3520,,,30,29073.48392,,,1.132812626,84000030,USA,,
Nebraska,US,10/2/2022 4:32,41.1254,-98.2681,537466,4542,,,31,27784.52116,,,0.845076712,84000031,USA,,
Nevada,US,10/2/2022 4:32,38.3135,-117.0554,847332,11501,,,32,27509.38589,,,1.357319209,84000032,USA,,
New Hampshire,US,10/2/2022 4:32,43.4525,-71.5639,350358,2705,,,33,25767.09315,,,0.772067428,84000033,USA,,
New Jersey,US,10/2/2022 4:32,40.2989,-74.521,2743339,34750,,,34,30885.84009,,,1.266704552,84000034,USA,,
New Mexico,US,10/2/2022 4:32,34.8405,-106.2485,618683,8567,,,35,29505.64877,,,1.384715597,84000035,USA,,
